Geschlecht,Alter,Bildungsabschluss,Einkommen,BioV,Gruppe_Bio,Bedingung,CCP,CCC
1,29,9,4,"4,5",2,KG B,1,1
,,,,,,,,
2,30,7,3,"4,5",2,KG B,1,2
,,,,,,,,
1,39,6,3,"4,5",2,KG B,1,1
,,,,,,,,
1,47,9,9,"4,5",2,KG B,1,1
,,,,,,,,
2,29,8,4,"4,5",2,KG B,2,2
,,,,,,,,
2,34,9,5,"4,5",2,KG B,1,1
,,,,,,,,
2,32,9,4,"4,5",2,KG B,1,1
,,,,,,,,
1,60,5,3,"4,5",2,KG B,1,1
,,,,,,,,
1,67,3,2,"4,5",2,KG B,1,1
,,,,,,,,
1,24,7,4,"4,75",2,Intervention A,2,2
,,,,,,,,
1,33,8,2,"4,75",2,Intervention A,2,1
,,,,,,,,
1,31,7,4,"4,75",2,Intervention A,2,2
,,,,,,,,
2,77,4,4,"4,75",2,Intervention A,1,2
,,,,,,,,
1,66,9,2,"4,75",2,Intervention A,1,1
,,,,,,,,
1,54,5,6,"4,75",2,Intervention A,1,1
,,,,,,,,
2,53,5,1,"4,75",2,Intervention A,1,1
,,,,,,,,
1,28,3,3,"4,75",2,Intervention A,1,1
,,,,,,,,
1,67,5,1,"4,75",2,Intervention B,1,1
,,,,,,,,
2,24,5,3,"4,75",2,Intervention B,1,1
,,,,,,,,
2,38,7,2,"4,75",2,Intervention B,1,1
,,,,,,,,
1,48,5,3,"4,75",2,Intervention B,1,2
,,,,,,,,
2,65,7,4,"4,75",2,Intervention B,2,2
,,,,,,,,
2,64,3,7,"4,75",2,Intervention B,2,2
,,,,,,,,
1,59,5,0,"4,75",2,Intervention B,1,2
,,,,,,,,
1,65,7,2,"4,75",2,KG A,1,1
,,,,,,,,
1,67,9,6,"4,75",2,KG A,2,2
,,,,,,,,
1,47,6,3,"4,75",2,KG A,1,1
,,,,,,,,
2,40,5,3,"4,75",2,KG A,1,1
,,,,,,,,
2,56,5,2,"4,75",2,KG A,1,1
,,,,,,,,
2,50,8,5,"4,75",2,KG A,2,2
,,,,,,,,
1,45,5,4,"4,75",2,KG A,2,1
,,,,,,,,
1,28,4,7,"4,75",2,KG A,2,2
,,,,,,,,
2,19,7,6,"4,75",2,KG A,1,1
,,,,,,,,
2,67,7,1,"4,75",2,KG A,1,1
,,,,,,,,
2,50,5,8,"4,75",2,KG A,1,1
,,,,,,,,
1,41,4,2,"4,75",2,KG A,1,1
,,,,,,,,
1,77,5,2,"4,75",2,KG A,1,1
,,,,,,,,
1,38,8,2,"4,75",2,KG A,1,1
,,,,,,,,
1,27,7,3,"4,75",2,KG A,1,1
,,,,,,,,
2,67,7,5,"4,75",2,KG A,1,1
,,,,,,,,
1,24,4,2,"4,75",2,KG A,1,1
,,,,,,,,
1,71,5,1,"4,75",2,KG A,1,1
,,,,,,,,
1,42,9,0,"4,75",2,KG B,2,1
,,,,,,,,
2,73,3,6,"4,75",2,KG B,1,1
,,,,,,,,
2,61,4,5,"4,75",2,KG B,1,1
,,,,,,,,
1,62,9,4,"4,75",2,KG B,1,1
,,,,,,,,
3,45,3,3,"4,75",2,KG B,1,1
,,,,,,,,
1,71,4,2,"4,75",2,KG B,1,1
,,,,,,,,
2,68,9,7,"4,75",2,KG B,1,1
,,,,,,,,
1,45,5,2,"4,75",2,KG B,1,1
,,,,,,,,
2,78,4,2,5,2,Intervention A,2,1
,,,,,,,,
1,60,4,8,5,2,Intervention A,2,2
,,,,,,,,
2,36,9,8,5,2,Intervention A,2,2
,,,,,,,,
1,56,3,0,5,2,Intervention A,2,2
,,,,,,,,
2,28,7,3,5,2,Intervention A,2,1
,,,,,,,,
2,55,7,7,5,2,Intervention A,1,1
,,,,,,,,
2,62,5,2,5,2,Intervention A,1,1
,,,,,,,,
2,52,5,3,5,2,Intervention A,1,1
,,,,,,,,
2,36,9,9,5,2,Intervention A,1,1
,,,,,,,,
2,49,9,9,5,2,Intervention A,1,1
,,,,,,,,
2,51,7,4,5,2,Intervention A,1,1
,,,,,,,,
2,59,6,3,5,2,Intervention A,1,1
,,,,,,,,
3,67,9,8,5,2,Intervention A,1,1
,,,,,,,,
1,19,7,1,5,2,Intervention B,2,2
,,,,,,,,
1,26,8,4,5,2,Intervention B,1,1
,,,,,,,,
1,22,5,2,5,2,Intervention B,1,2
,,,,,,,,
2,27,9,5,5,2,Intervention B,1,2
,,,,,,,,
2,71,4,7,5,2,Intervention B,2,2
,,,,,,,,
1,55,5,7,5,2,Intervention B,1,2
,,,,,,,,
2,80,4,2,5,2,Intervention B,1,1
,,,,,,,,
1,36,8,9,5,2,Intervention B,1,1
,,,,,,,,
1,36,5,3,5,2,Intervention B,2,2
,,,,,,,,
1,74,5,8,5,2,KG A,1,1
,,,,,,,,
1,63,5,2,5,2,KG A,2,2
,,,,,,,,
2,62,5,5,5,2,KG A,1,1
,,,,,,,,
1,29,6,1,5,2,KG A,1,1
,,,,,,,,
2,78,6,4,5,2,KG A,1,1
,,,,,,,,
2,77,3,3,5,2,KG A,1,1
,,,,,,,,
